119.429400,0.652400,0.050703,19.964696,0.050560,0.099883,K-2,A20-18
20210608 07:53,0.205214,20.001072,0.371045,3.331934,0.371045,20.969564,21.442727,20.979328
20210608 07:53,0.211311,20.001691,0.485812,3.227102,0.471045,20.972052,21.443837,20.982363
20210608 07:53,0.216292,20.001588,0.588934,3.141472,0.571045,20.975469,21.444947,20.981496
20210608 07:53,0.220440,20.002311,0.692050,3.070158,0.671045,20.979813,21.445834,20.981821
20210608 07:54,0.223989,20.003445,0.795162,3.009124,0.771045,20.984988,21.446057,20.982255
20210608 07:54,0.227076,20.004683,0.898270,2.956059,0.871045,20.991239,21.446834,20.981496
BWD
20210608 08:31,0.227315,20.022952,0.000000,3.126885,0.000000,21.489613,22.033968,21.450719
20210608 08:31,0.226553,20.023572,0.051630,3.139986,0.050000,21.492718,22.021624,21.465490
20210608 08:32,0.225752,20.024294,0.103258,3.153749,0.100000,21.497027,22.014426,21.456715
20210608 08:32,0.224926,20.025327,0.154886,3.167927,0.150000,21.499834,22.010087,21.465713
20210608 08:32,0.224099,20.025843,0.206512,3.182148,0.200000,21.503843,22.004149,21.463935
20210608 08:32,0.223208,20.026463,0.258137,3.197457,0.250000,21.508054,21.996730,21.469046
20210608 08:33,0.222319,20.025224,0.309762,3.212742,0.300000,21.510611,21.995817,21.469935
20210608 08:33,0.221376,20.026256,0.361385,3.228942,0.350000,21.511715,21.993193,21.464046
20210608 08:33,0.220406,20.026256,0.413008,3.245614,0.400000,21.512466,21.990340,21.459270
20210608 08:34,0.219406,20.027186,0.464629,3.262799,0.450000,21.516529,21.988972,21.459270
20210608 08:34,0.218347,20.026979,0.516250,3.281001,0.500000,21.520191,21.986348,21.455938
20210608 08:34,0.217249,20.027083,0.567869,3.299873,0.550000,21.522498,21.987032,21.453828
20210608 08:34,0.216103,20.027289,0.619488,3.319577,0.600000,21.526312,21.985550,21.449831
20210608 08:35,0.214902,20.026360,0.671105,3.340225,0.650000,21.527617,21.980760,21.440396
20210608 08:35,0.213671,20.026463,0.722722,3.361385,0.700000,21.526312,21.975743,21.444059
20210608 08:35,0.212330,20.028632,0.774338,3.384425,0.750000,21.526714,21.975971,21.431300
20210608 08:36,0.210951,20.028736,0.825952,3.408121,0.800000,21.529976,21.975173,21.430524
